Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NAD kinase (EC 2.7.1.23)	fig|6666666.5373.peg.3304
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	C-terminal domain of CinA type S	fig|6666666.5373.peg.1656, fig|6666666.5373.peg.1656
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	DNA ligase (EC 6.5.1.2), LigB	fig|6666666.5373.peg.6292, fig|6666666.5373.peg.6293
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NAD-dependent protein deacetylase of SIR2 family	fig|6666666.5373.peg.583
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NAD synthetase (EC 6.3.1.5)	fig|6666666.5373.peg.4783
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	L-aspartate oxidase (EC 1.4.3.16)	fig|6666666.5373.peg.2397
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)	fig|6666666.5373.peg.3412, fig|6666666.5373.peg.3411
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	DNA ligase (EC 6.5.1.2)	fig|6666666.5373.peg.4452, fig|6666666.5373.peg.4451
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nicotinamidase (EC 3.5.1.19)	fig|6666666.5373.peg.4536
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1)	fig|6666666.5373.peg.6183
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	p-Aminobenzoyl-Glutamate Utilization	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit A	fig|6666666.5373.peg.5556
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	p-Aminobenzoyl-Glutamate Utilization	Regulatory protein (induces abgABT, used to catabolize p-aminobenzoyl-glutamate)	fig|6666666.5373.peg.1740, fig|6666666.5373.peg.5555
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	p-Aminobenzoyl-Glutamate Utilization	Aminobenzoyl-glutamate transport protein	fig|6666666.5373.peg.1215
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	p-Aminobenzoyl-Glutamate Utilization	Catalyzes the cleavage of p-aminobenzoyl-glutamate to p-aminobenzoate and glutamate, subunit B	fig|6666666.5373.peg.238, fig|6666666.5373.peg.236, fig|6666666.5373.peg.5557, fig|6666666.5373.peg.237
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)	fig|6666666.5373.peg.1751
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum cofactor biosynthesis protein MoaC	fig|6666666.5373.peg.4564
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum cofactor biosynthesis protein MoaE	fig|6666666.5373.peg.4567
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdopterin biosynthesis Mog protein, molybdochelatase	fig|6666666.5373.peg.3238
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdopterin-guanine dinucleotide biosynthesis protein MobA	fig|6666666.5373.peg.121, fig|6666666.5373.peg.122
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum cofactor biosynthesis protein MoaD	fig|6666666.5373.peg.4565
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 1	fig|6666666.5373.peg.7328
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum cofactor biosynthesis protein MoaA	fig|6666666.5373.peg.655, fig|6666666.5373.peg.654
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdopterin-guanine dinucleotide biosynthesis protein MobB	fig|6666666.5373.peg.123
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	CTP:molybdopterin cytidylyltransferase	fig|6666666.5373.peg.4477
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdopterin biosynthesis protein MoeB	fig|6666666.5373.peg.2070
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Sulfur carrier protein adenylyltransferase ThiF	fig|6666666.5373.peg.2945, fig|6666666.5373.peg.3636, fig|6666666.5373.peg.2944
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	fig|6666666.5373.peg.1750, fig|6666666.5373.peg.1749
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	DNA-binding domain of ModE	fig|6666666.5373.peg.1644
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdopterin biosynthesis protein MoeA	fig|6666666.5373.peg.2071
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	GTP cyclohydrolase II (EC 3.5.4.25)	fig|6666666.5373.peg.2029
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)	fig|6666666.5373.peg.1748
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdenum cofactor biosynthesis protein MoaB	fig|6666666.5373.peg.4563
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum cofactor biosynthesis	Molybdate-binding domain of ModE	fig|6666666.5373.peg.1644
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Aminodeoxychorismate lyase (EC 4.1.3.38)	fig|6666666.5373.peg.6811, fig|6666666.5373.peg.6810
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Dihydropteroate synthase (EC 2.5.1.15)	fig|6666666.5373.peg.6074, fig|6666666.5373.peg.6073, fig|6666666.5373.peg.3372
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Dihydrofolate reductase (EC 1.5.1.3)	fig|6666666.5373.peg.5102, fig|6666666.5373.peg.4462
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Dihydroneopterin triphosphate epimerase	fig|6666666.5373.peg.3136
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	fig|6666666.5373.peg.6420
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	FolM Alternative dihydrofolate reductase 1	fig|6666666.5373.peg.5282
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Thymidine kinase (EC 2.7.1.21)	fig|6666666.5373.peg.254
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 1	fig|6666666.5373.peg.7328
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fig|6666666.5373.peg.6931, fig|6666666.5373.peg.7471
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Thymidylate synthase (EC 2.1.1.45)	fig|6666666.5373.peg.3557
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Dihydroneopterin aldolase (EC 4.1.2.25)	fig|6666666.5373.peg.1928, fig|6666666.5373.peg.1927
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	fig|6666666.5373.peg.5216
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Folylpolyglutamate synthase (EC 6.3.2.17)	fig|6666666.5373.peg.4846
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	fig|6666666.5373.peg.7631
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	fig|6666666.5373.peg.1401, fig|6666666.5373.peg.1400
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Dihydrofolate synthase (EC 6.3.2.12)	fig|6666666.5373.peg.4846
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	fig|6666666.5373.peg.5348
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Folate Biosynthesis	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	fig|6666666.5373.peg.192
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Alcohol dehydrogenase (EC 1.1.1.1)	fig|6666666.5373.peg.4894, fig|6666666.5373.peg.1698, fig|6666666.5373.peg.2066, fig|6666666.5373.peg.3290, fig|6666666.5373.peg.4891, fig|6666666.5373.peg.2354, fig|6666666.5373.peg.258, fig|6666666.5373.peg.3289, fig|6666666.5373.peg.7523, fig|6666666.5373.peg.7665, fig|6666666.5373.peg.4892, fig|6666666.5373.peg.259
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Dihydrofolate reductase (EC 1.5.1.3)	fig|6666666.5373.peg.5102, fig|6666666.5373.peg.4462
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Serine hydroxymethyltransferase (EC 2.1.2.1)	fig|6666666.5373.peg.6420
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	fig|6666666.5373.peg.7486
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	fig|6666666.5373.peg.1423
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	fig|6666666.5373.peg.5934, fig|6666666.5373.peg.1985, fig|6666666.5373.peg.2339
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	fig|6666666.5373.peg.7539
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Hydroxyethylthiazole kinase (EC 2.7.1.50)	fig|6666666.5373.peg.1517
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	fig|6666666.5373.peg.5988
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Formyltetrahydrofolate deformylase (EC 3.5.1.10)	fig|6666666.5373.peg.1433
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	fig|6666666.5373.peg.1323
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	fig|6666666.5373.peg.7631
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	fig|6666666.5373.peg.6870
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Thiamine-monophosphate kinase (EC 2.7.4.16)	fig|6666666.5373.peg.6427
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	fig|6666666.5373.peg.6276, fig|6666666.5373.peg.6277, fig|6666666.5373.peg.6278
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Thiamine kinase (EC 2.7.1.89)	fig|6666666.5373.peg.1470
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	fig|6666666.5373.peg.1289
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	fig|6666666.5373.peg.3635
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	fig|6666666.5373.peg.2924, fig|6666666.5373.peg.2925
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Proposed lipoate regulatory protein YbeD	fig|6666666.5373.peg.4926
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	fig|6666666.5373.peg.3968, fig|6666666.5373.peg.3970, fig|6666666.5373.peg.3967, fig|6666666.5373.peg.3969
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase	fig|6666666.5373.peg.2016
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	fig|6666666.5373.peg.1289
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Biotin-protein ligase (EC 6.3.4.15)	fig|6666666.5373.peg.3726
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Lipoate-protein ligase A	fig|6666666.5373.peg.536, fig|6666666.5373.peg.533, fig|6666666.5373.peg.535, fig|6666666.5373.peg.532, fig|6666666.5373.peg.534
Cofactors, Vitamins, Prosthetic Groups, Pigments	Lipoic acid	Lipoic acid metabolism	Lipoate synthase	fig|6666666.5373.peg.3872
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Pantothenate:Na+ symporter (TC 2.A.21.1.1)	fig|6666666.5373.peg.6373
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	fig|6666666.5373.peg.2203
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Dephospho-CoA kinase (EC 2.7.1.24)	fig|6666666.5373.peg.1544
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Pantothenate kinase (EC 2.7.1.33)	fig|6666666.5373.peg.3727
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Aspartate 1-decarboxylase (EC 4.1.1.11)	fig|6666666.5373.peg.2510
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	2-dehydropantoate 2-reductase (EC 1.1.1.169)	fig|6666666.5373.peg.32
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	fig|6666666.5373.peg.3859
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Ketol-acid reductoisomerase (EC 1.1.1.86)	fig|6666666.5373.peg.4043, fig|6666666.5373.peg.4044
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	fig|6666666.5373.peg.5705, fig|6666666.5373.peg.5704, fig|6666666.5373.peg.3865
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Pantoate--beta-alanine ligase (EC 6.3.2.1)	fig|6666666.5373.peg.2513
Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A	Coenzyme A Biosynthesis	Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	fig|6666666.5373.peg.5705, fig|6666666.5373.peg.5704, fig|6666666.5373.peg.3865
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Streptococcal Hyaluronic Acid Capsule	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	fig|6666666.5373.peg.4546, fig|6666666.5373.peg.2601, fig|6666666.5373.peg.4545
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Streptococcal Hyaluronic Acid Capsule	UDP-glucose dehydrogenase (EC 1.1.1.22)	fig|6666666.5373.peg.3163, fig|6666666.5373.peg.851, fig|6666666.5373.peg.852, fig|6666666.5373.peg.3162, fig|6666666.5373.peg.853
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	Phosphoheptose isomerase (EC 5.3.1.-)	fig|6666666.5373.peg.925
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	fig|6666666.5373.peg.6636, fig|6666666.5373.peg.6635, fig|6666666.5373.peg.6634
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	Phosphoheptose isomerase 1 (EC 5.3.1.-)	fig|6666666.5373.peg.4730, fig|6666666.5373.peg.4729
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	GDP-L-fucose synthetase (EC 1.1.1.271)	fig|6666666.5373.peg.6637
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular heptose biosynthesis	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)	fig|6666666.5373.peg.261, fig|6666666.5373.peg.260
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate Biosynthesis	N-acetylneuraminate synthase (EC 2.5.1.56)	fig|6666666.5373.peg.1633
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate Biosynthesis	N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)	fig|6666666.5373.peg.1843
Cell Wall and Capsule	Capsular and extracellular polysacchrides	CMP-N-acetylneuraminate Biosynthesis	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	fig|6666666.5373.peg.3164
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP)	fig|6666666.5373.peg.4176, fig|6666666.5373.peg.4175
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Uncharacterized lipoprotein YmcC precursor	fig|6666666.5373.peg.4867
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Putative capsular polysaccharide transport protein YegH	fig|6666666.5373.peg.3739
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Polysaccharide export lipoprotein Wza	fig|6666666.5373.peg.3738
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	UDP-N-acetylglucosamine 4-epimerase (EC 5.1.3.7)	fig|6666666.5373.peg.5076
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Tyrosine-protein kinase Wzc (EC 2.7.10.2)	fig|6666666.5373.peg.4179, fig|6666666.5373.peg.4178, fig|6666666.5373.peg.3736, fig|6666666.5373.peg.3735, fig|6666666.5373.peg.4177
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Putative polysaccharide export protein YccZ precursor	fig|6666666.5373.peg.4181
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Putative outer membrane lipoprotein YmcA	fig|6666666.5373.peg.4864, fig|6666666.5373.peg.1398
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Capsular Polysaccharides Biosynthesis and Assembly	Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	fig|6666666.5373.peg.3737, fig|6666666.5373.peg.4180
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose containing glycans	UDP-glucose 4-epimerase (EC 5.1.3.2)	fig|6666666.5373.peg.5076, fig|6666666.5373.peg.6771, fig|6666666.5373.peg.6770
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose containing glycans	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	fig|6666666.5373.peg.3161, fig|6666666.5373.peg.3160
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose containing glycans	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	fig|6666666.5373.peg.3158, fig|6666666.5373.peg.2041, fig|6666666.5373.peg.3159
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	fig|6666666.5373.peg.3161, fig|6666666.5373.peg.3160
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose synthesis	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	fig|6666666.5373.peg.3158, fig|6666666.5373.peg.2041, fig|6666666.5373.peg.3159
